AnimalId,DOB,Sex,BehaviorMom,Sire,Dam
03B,1/3/1993,f,F74,,F74
03C,1/14/1994,m,D82,J19,D82
03D,11/21/1994,m,H64,D71,H64
03E,1/18/1995,f,F74,T90,F74
03F,2/12/1996,m,X90,K01,X90
03G,4/4/1997,m,R71,R70,R71
03H,12/5/1996,f,J69,J19,J69
03I,1/9/1998,f,R74,T57,R74
03J,12/22/1997,f,O69,V79,O69
03K,11/24/1998,m,19A,27B,19A
03L,12/20/1998,f,18A,Z01,18A
03N,11/26/1999,m,89C,R70,89C
03O,2/25/2000,m,B60,,
03P,12/14/2000,f,Z08,85A,Z08
03R,11/8/2001,m,T98,13E,T98
03S,1/31/2002,f,D82,T57,D82
03T,12/3/2002,m,O33,23E,O33
03V,12/4/2003,m,71J,07D,71J
03Z,1/13/2004,f,81B,79F,81B
040,1/1/1955,f,?,,
041,1/1/1956,f,?,,
042,1/1/1956,m,?,,
043,1/1/1955,m,?,,
044,1/1/1955,f,?,,
045,1/1/1956,m,?,,
046,1/1/1953,f,?,,
047,1/1/1951,m,?,,
048,1/1/1951,f,?,,
049,1/1/1954,f,?,,
04A,3/10/1992,f,O56,742,O56
04B,2/10/1993,m,C26,,
04C,12/20/1993,f,S55,L43,S55
04D,1/9/1995,f,I56,A92,I56
04E,1/3/1995,f,O87,J21,O87
04F,11/6/1995,m,G43,E94,G43
04G,4/7/1997,f,V04,S76,18A
04H,12/15/1996,f,V60,T88,V60
04I,12/9/1997,m,55A,F26,44B
04J,2/13/1998,m,V60,T30,V60
04K,3/4/1999,m,99A,D71,99A
04L,1/12/1999,m,44B,F26,44B
04N,3/25/2000,f,17C,Z06,17C
04O,11/14/1999,f,Z08,51A,Z08
04P,1/2/2001,f,S16,56C,S16
04R,12/3/2001,m,42B,10D,42B
04S,11/27/2001,m,68C,Z01,68C
04T,11/4/2002,m,96G,80B,96G
04V,10/18/2003,m,46F,07D,46F
04Z,2/10/2004,m,O35,50B,O35
050,1/1/1955,f,?,,
051,1/1/1955,f,?,,
052,1/1/1954,m,?,,
053,1/1/1955,m,?,,
054,1/1/1951,f,?,,
055,1/1/1954,f,?,,
056,1/1/1955,m,?,,
057,1/1/1955,f,?,,
058,1/1/1954,f,?,,
059,1/1/1955,f,?,,
05A,3/7/1992,f,725,A66,
05B,1/11/1993,f,G42,,
05C,12/6/1993,m,678,717,678
05D,2/10/1995,f,L97,E05,L97
05E,3/1/1995,m,931,D71,931
05F,1/22/1996,f,R75,L64,R75
05G,12/7/1996,m,O70,V79,O70
05H,1/8/1997,m,O30,X79,O30
05I,2/9/1998,m,G43,J21,G43
05J,3/11/1998,f,B60,K85,B60
05K,12/10/1998,m,N13,77A,N13
05L,2/25/1999,m,Z99,,Z99
05N,12/15/1999,f,57A,90A,57A
05O,1/7/2000,m,O55,32B,O55
05P,1/2/2001,f,D69,V79,D69
05R,10/23/2001,f,50D,61D,50D
05S,10/29/2001,f,30D,80B,30D
05T,12/19/2002,f,02A,S47,02A
05V,11/14/2003,f,Z11,X81,Z11
05Z,12/6/2003,m,21H,30G,21H
060,1/1/1951,m,?,,
061,1/1/1954,f,?,,
062,1/1/1954,f,?,,
063,1/1/1954,m,?,,
064,1/1/1951,f,?,,
065,1/1/1953,f,?,,
066,1/1/1951,m,?,,
067,1/1/1956,f,?,,
068,1/1/1954,f,?,,
069,1/1/1955,f,?,,
06A,1/25/1992,f,N16,I85,N16
06B,1/5/1993,m,F20,,
06C,2/4/1994,m,869,A92,869
06D,2/2/1995,f,L37,O34,L37
06E,1/3/1995,f,V58,L01,V58
06F,3/19/1996,m,985,D11,985
06G,1/15/1997,m,G43,,G43
06H,12/3/1996,m,D83,J19,D83
06I,1/1/1998,m,O70,R70,O70
06J,1/22/1998,f,X28,S60,X28
06K,4/23/1999,m,R65,I06,R65
06L,12/29/1998,f,V60,X58,V60
06N,11/26/1999,m,I50,77A,I50
06O,2/5/2000,m,19A,17B,19A
06P,12/8/2000,m,J28,88C,J28
06R,11/3/2001,m,69F,T82,69F
06S,12/6/2001,f,K79,57D,K79
06T,10/25/2002,f,39F,Z71,39F
06V,2/18/2004,m,59A,Z10,59A
06Z,11/30/2003,f,75J,43H,75J
070,1/1/1951,f,?,,
071,1/1/1956,f,?,,
072,1/1/1953,m,?,,
073,1/1/1951,f,?,,
074,1/1/1956,f,?,,
075,1/1/1955,f,?,,
076,1/1/1951,f,?,,
077,1/1/1955,m,?,,
078,1/1/1951,f,?,,
079,1/1/1954,m,?,,
07A,3/30/1992,f,J89,F32,J89
07B,12/5/1992,f,C40,J02,
07C,3/7/1994,f,O35,L34,O35
07D,1/4/1995,m,L19,K85,L19
07E,1/4/1995,f,X70,L22,X70
07F,1/26/1996,f,N13,G37,N13
07G,1/22/1997,m,E65,J26,E65
07H,12/24/1996,f,K28,K85,K28
07I,2/20/1998,m,T03,L22,T03
07J,12/10/1997,m,31A,L83,31A
07K,12/26/1998,f,73B,32B,73B
07L,1/6/1999,f,95A,K14,95A
07N,1/22/2000,f,61A,51A,61A
07O,1/1/2000,m,J66,T53,J66
07P,1/9/2001,m,Z14,20B,Z14
07R,12/15/2001,m,65A,43A,65A
07S,11/3/2001,f,03B,70C,03B
07T,1/6/2003,m,77D,O15,77D
07V,11/6/2003,m,56A,10D,56A
07Z,12/14/2003,m,V05,,V05
080,1/1/1954,f,?,,
081,1/1/1951,f,?,,
082,1/1/1951,m,?,,
083,1/1/1951,f,?,,
084,1/1/1951,f,?,,
085,1/1/1955,f,?,,
086,1/1/1955,m,?,,
087,1/1/1953,f,?,,
088,1/1/1955,f,?,,
089,1/1/1951,m,?,,
08A,1/27/1992,m,C12,E54,C12
08B,12/15/1992,f,987,,
08C,2/17/1994,f,V60,I37,V60
08D,12/28/1994,f,O96,K85,O96
08E,5/13/1995,m,R65,I85,R65
08F,12/20/1995,f,J28,O81,J28
08G,1/5/1997,f,56A,B07,56A
08H,3/19/1997,f,S96,761,
08I,12/22/1997,f,01B,O19,01B
08J,11/5/1997,m,D97,E54,D97
08K,12/16/1998,m,57A,51A,57A
08L,11/9/1998,f,L29,E54,L29
08N,11/20/1999,m,V36,X81,V36
08O,12/10/1999,m,V24,T82,V24
08P,12/7/2000,m,R78,02C,R78
08R,12/21/2001,f,31D,14D,31D
08S,12/24/2001,m,24B,K32,24B
08T,1/19/2003,f,X28,20B,X28
08V,3/1/2004,m,73B,65F,73B
08Z,10/1/2003,f,K84,Z71,K84
090,1/1/1951,f,?,,
091,1/1/1951,f,?,,
092,1/1/1951,f,?,,
093,1/1/1951,f,?,,
094,1/1/1951,f,?,,
095,1/1/1955,m,?,,
096,1/1/1955,m,?,,
097,1/1/1955,f,?,,
098,1/1/1956,m,?,,
099,1/1/1956,f,?,,
09A,1/4/1992,m,N05,,
09B,1/13/1993,f,O45,,
09C,11/21/1993,m,J12,E05,J12
09D,12/28/1994,m,S11,O28,S11
09E,3/30/1995,f,985,D52,985
09F,2/4/1996,f,J89,O08,J89
09G,2/26/1997,f,Z11,I47,Z11
09H,1/19/1997,f,K79,T30,K79
09I,11/29/1997,f,O54,R70,O54
09J,1/8/1998,m,V80,R70,V80
09K,12/17/1998,m,86C,S18,86C
09L,12/22/1998,m,82B,A48#,82B
09N,12/23/1999,m,Z14,L64,Z14
09O,2/16/2000,f,39F,F00,39F
09P,2/11/2001,m,J95,L64,J95
09R,12/5/2001,m,33H,66D,33H
09S,11/26/2001,m,56A,Z10,56A
09T,11/22/2002,f,87F,J88,87F
09V,1/13/2004,m,42B,07D,42B
09Z,11/7/2003,f,46K,G07,46K
0A0,10/16/2004,f,30D,23H,30D
0A1,11/19/2004,f,15C,83L,15C
0A2,12/18/2004,f,89K,80B,89K
0A3,10/18/2004,m,48B,86D,48B
0A4,10/23/2004,f,62H,07D,62H
0A5,10/22/2004,f,54D,54F,54D
0A6,12/10/2004,m,14I,Z10,14I
0A7,12/10/2004,m,J92,86D,J92
0A8,10/21/2004,f,71J,10D,71J
0A9,12/29/2004,f,29B,08N,29B
0B0,1/31/2005,f,Z08,08N,Z08
0B1,11/22/2004,m,02G,X58,93O
0B2,10/3/2004,f,Z99,77I,Z99
0B3,12/4/2004,m,X60,77I,X60
0B4,12/5/2004,f,67C,13I,67C
0B5,10/22/2004,f,93I,69I,93I
0B6,11/29/2004,f,V05,64K,V05
0B7,5/9/2005,f,T84,12O,T84
0B8,11/28/2004,m,28A,48G,28A
0B9,11/2/2004,f,19J,78B,19J
0C0,10/31/2005,m,Z15,64K,Z15
0C1,1/24/2006,m,21C,09K,21C
0C2,10/29/2005,f,60P,99L,60P
0C3,11/17/2005,m,21K,53N,21K
0C4,11/1/2005,m,20F,81O,20F
0C5,10/30/2005,m,46F,20J,46F
0C6,12/20/2005,f,42L,01K,42L
0C7,10/25/2005,m,28J,10D,28J
0C8,12/11/2005,f,11I,15N,11I
0C9,10/30/2005,m,X97,09K,X97
0D0,12/24/2006,m,28I,80B,28I
0D1,10/2/2006,f,48N,04I,48N
0D2,10/7/2006,m,44J,09K,44J
0D3,9/23/2006,m,10S,99L,10S
0D4,10/11/2006,f,86C,03N,86C
0D5,10/8/2006,f,X60,12O,X60
0D6,10/23/2006,m,02A,83L,02A
0D7,10/17/2006,m,37P,,37P
0D8,11/5/2006,m,K84,21P,K84
0D9,10/11/2006,m,76K,13I,76K
0E0,10/31/2006,f,40L,09K,40L
0E1,11/18/2006,f,96G,26P,96G
0E2,12/20/2006,f,02T,T82,02T
0E3,10/16/2006,m,L19,20J,L19
0E4,12/2/2006,m,28A,83L,28A
0E5,10/18/2006,m,21N,15N,21N
0E6,10/27/2006,f,91K,38L,91K
0E7,1/3/2007,f,Z14,10D,Z14
0E8,10/18/2006,m,V36,64K,V36
0E9,9/15/2006,m,52P,75H,52P
0F0,11/28/2007,f,31L,61B,31L
0F1,11/6/2007,m,15E,12E,15E
0F2,12/22/2007,m,T03,51J,T03
0F3,11/11/2007,f,66I,93R,66I
0F4,10/29/2007,f,21N,68N,21N
0F5,9/11/2007,m,64A,85B,64A
0F6,9/30/2007,f,10Z,73S,10Z
0F7,10/30/2007,m,28I,60H,28I
0F8,9/26/2007,f,68C,83L,68C
0F9,11/13/2007,m,97R,26P,97R
0G0,12/12/2007,f,V65,04I,V65
0G1,11/17/2007,m,K00,91O,K00
0G2,9/26/2007,f,40T,54F,40T
0G3,10/27/2007,f,62S,08O,62S
0G4,1/11/2008,m,57H,07D,57H
0G5,10/5/2007,f,43F,75H,43F
0G6,10/3/2007,m,14I,25L,14I
0G7,10/23/2007,f,Z08,43P,Z08
0G8,9/30/2007,m,55H,02F,55H
0G9,11/9/2008,m,98J,60L,98J
0H0,11/11/2008,m,21H,94O,21H
0H1,9/4/2008,m,62O,80B,62O
0H2,9/7/2008,f,62R,03N,62R
0H3,10/6/2008,m,11N,27N,11N
0H4,10/9/2008,f,21N,65F,21N
0H5,10/7/2008,f,55R,22R,55R
0H6,9/24/2008,f,73C,08O,73C
0H7,9/20/2008,m,16S,84G,16S
0H8,1/31/2009,m,X17,02R,X17
0H9,10/4/2008,m,71J,64K,71J
0I0,9/16/2008,f,Z11,81O,Z11
0I1,12/15/2008,m,39Z,72T,39Z
0I2,9/25/2008,m,14I,07D,14I
0I3,11/10/2008,m,O52,07D,O52
0I4,9/17/2008,f,44J,43P,44J
0I5,10/8/2008,f,90D,36S,90D
0I6,1/5/2009,f,92D,36S,92D
0I7,9/1/2008,f,38Z,55T,38Z
0I8,10/28/2009,m,78I,72O,78I
0I9,9/23/2009,m,85T,72O,85T
0J0,11/17/2009,m,33V,11Z,33V
0J1,9/6/2009,m,02T,27J,02T
0J2,10/23/2009,f,76J,56K,76J
0J3,10/18/2009,m,89K,83L,89K
0J4,9/16/2009,m,16Z,50T,16Z
0J5,10/17/2009,f,55J,19T,55J
0J6,10/28/2009,f,93I,13N,93I
0J7,9/6/2009,f,85Z,20J,85Z
0J8,8/29/2009,m,24V,91S,24V
0J9,10/3/2009,m,30F,19T,30F
0K0,10/14/2009,f,15E,12E,15E
0K1,10/11/2009,m,4C9,T82,4C9
0K2,11/22/2009,f,3C3,16N,3C3
0K3,11/1/2009,m,5B6,43N,5B6
0K4,10/30/2009,f,43F,02R,43F
0K5,9/28/2009,m,52P,36S,52P
0K6,10/17/2009,f,15O,11Z,15O
0K7,10/3/2009,f,79Z,05I,79Z
0K8,11/21/2009,f,2C3,56K,2C3
0K9,1/2/2010,F,34B,19T,34B
0L0,10/30/2010,m,93I,44T,93I
0L1,9/28/2010,m,89K,17K,89K
0L2,9/28/2010,f,60V,58R,60V
0L3,10/22/2010,m,55V,41N,55V
0L4,10/14/2010,m,16Z,12Z,16Z
0L5,10/13/2010,m,4A9,94O,4A9
0L6,9/21/2010,f,57T,53N,57T
0L7,10/30/2010,f,5C2,5C3,5C2
0L8,10/29/2010,f,7A9,19T,7A9
0L9,10/9/2010,f,1B4,19T,1B4
0M0,9/23/2010,f,5C6,90B,5C6
0M1,9/20/2010,m,13H,12E,13H
0M2,9/12/2010,f,2E8,91O,2E8
0M3,10/25/2010,f,1B3,61R,1B3
0M4,10/10/2010,f,14E,72O,14E
0M5,8/25/2011,f,0E1,26P,0E1
0M6,8/9/2011,f,2C3,11Z,2C3
0M7,9/13/2011,m,93O,57F,93O
0M8,8/22/2011,m,55J,60T,55J
0M9,8/15/2011,m,2D4,36V,2D4
0N0,10/20/2011,m,98J,61R,98J
0N1,9/20/2011,m,81E,98K,81E
0N2,9/12/2011,f,85T,73S,85T
0N3,10/17/2011,f,1B0,97V,1B0
0N4,9/5/2011,f,53Z,T88,53Z
0N5,11/4/2011,m,13B,61R,13B
0N6,8/30/2011,m,3D9,46Z,3D9
0N7,11/28/2011,f,30J,98K,30J
0N8,9/6/2011,m,47Z,61R,47Z
0N9,11/1/2011,m,43J,25L,43J
0O0,10/9/2012,m,50I,25R,50I
0O1,10/7/2012,m,29B,49Z,29B
0O2,10/11/2012,f,79Z,8A7,79Z
0O3,10/16/2012,f,1B0,1A0,1B0
0O4,9/12/2012,m,9E8,4C3,9E8
0O5,9/17/2012,f,45Z,97V,45Z
0O6,9/30/2012,m,82A,67Z,82A
0O7,9/6/2012,m,44J,0B8,44J
0O8,9/6/2012,m,9D8,6A8,9D8
0O9,9/8/2012,m,98T,49Z,98T
0P0,9/10/2012,m,6A4,3A6,6A4
0P1,10/2/2012,m,53E,6A1,53E
0P2,9/11/2012,f,77V,94Z,77V
0P3,8/29/2012,f,85V,30Z,85V
0P4,10/27/2012,f,6C2,16R,6C2
0P5,9/29/2012,f,97R,48L,97R
0P6,9/15/2012,m,4A5,30Z,4A5
0P7,9/25/2012,m,36D,88V,36D
0P8,9/13/2012,m,4F5,02R,4F5
0P9,8/25/2012,m,54N,3A6,54N
0Q0,9/8/2012,f,86Z,16R,86Z
0Q1,10/22/2012,m,48V,80B,48V
0Q2,10/9/2012,m,94S,64S,94S
0Q3,9/24/2012,f,73C,76Z,73C
0Q4,10/1/2012,m,55R,43N,55R
0Q5,12/29/2012,f,2C4,43P,2C4
0Q6,9/30/2012,f,7G6,2C6,7G6
0Q7,9/14/2012,f,3A9,30V,3A9
0Q8,9/21/2012,f,8E2,76Z,8E2
0Q9,11/12/2012,m,21N,43N,21N
0R0,7/4/2013,f,9C2,9D1,9C2
0R1,8/7/2013,m,93Z,96Z,93Z
0R2,8/21/2013,m,60R,8D2,60R
0R3,7/30/2013,m,93O,73Z,93O
0R4,8/30/2013,f,90P,94H,90P
0R5,9/6/2013,m,60P,04I,60P
0R6,8/12/2013,f,6C5,6A1,6C5
0R7,8/15/2013,f,49V,6A9,49V
0R8,7/28/2013,m,5G9,9D1,5G9
0R9,9/9/2013,f,2E1,8C2,2E1
0S0,8/21/2013,m,52Z,61R,52Z
0S1,9/20/2013,f,3D9,1A0,3D9
0S2,9/6/2013,f,9C1,61R,9C1
0S3,8/13/2013,m,53Z,1A0,53Z
0S4,9/2/2013,m,1I5,5E6,1I5
0S5,7/27/2013,f,40Z,73V,40Z
0S6,9/15/2013,f,9E8,1A0,9E8
0S7,10/1/2013,m,32S,12Z,32S
0S8,8/31/2013,f,56E,42T,56E
0S9,10/10/2013,f,63V,3E4,63V
0T0,9/18/2014,f,28J,3B9,28J
0T1,8/17/2014,f,8F3,2I4,8F3
0T2,7/7/2014,m,1K5,0B8,1K5
0T3,8/15/2014,m,2A2,5E1,2A2
0T4,8/3/2014,f,6C5,1F2,6C5
0T5,9/7/2014,f,43F,07D,43F
0T6,9/9/2014,f,61J,12Z,61J
0T7,8/15/2014,m,1L2,2J4,1L2
0T8,8/13/2014,f,0B6,76Z,0B6
0T9,9/16/2014,f,0A2,44T,0A2
0U0,8/28/2014,m,3D4,8B3,3D4
0U1,7/8/2014,f,1K0,9D1,1K0
0U2,8/19/2014,m,44J,88V,44J
0U3,7/31/2014,f,1K3,1F2,1K3
0U4,8/11/2014,f,42L,0B8,42L
0U5,8/16/2014,f,34N,29H,34N
0U6,8/28/2014,f,8J0,8C2,8J0
0U7,9/7/2014,f,9K1,9C8,9K1
0U8,10/6/2014,f,0I7,8B3,0I7
0U9,9/27/2014,m,97R,44T,97R
0V0,8/5/2015,f,2A5,7G1,2A5
0V1,11/27/2015,f,57H,0B8,57H
0V2,7/13/2015,f,1N9,2I1,1N9
0V3,8/15/2015,m,4I9,49Z,4I9
0V4,7/27/2015,f,5B6,49Z,5B6
0V5,7/29/2015,f,77S,94O,77S
0V6,8/13/2015,f,1K3,2I1,1K3
0V7,8/30/2015,m,1E0,1F2,1E0
0V8,8/6/2015,m,0C8,5J7,0C8
0V9,10/15/2015,f,22H,43N,22H
0W0,7/22/2015,f,0E2,8B5,0E2
0W1,10/27/2015,m,4D5,3I3,4D5
0W2,9/8/2015,f,7A9,4H2,7A9
0W3,7/20/2015,m,4I4,8D8,4I4
0W4,8/15/2015,m,3B1,4I8,3B1
0W5,7/26/2015,m,1E6,4H2,1E6
0W6,8/12/2015,f,4E0,94Z,4E0
0W7,8/29/2015,f,6B0,94Z,6B0
0W8,8/12/2015,f,31V,7B2,31V
0W9,7/5/2015,f,3J3,5H1,3J3
0X0,7/22/2015,f,2E1,6B2,2E1
0X1,7/25/2015,f,0K0,1F9,0K0
0X2,7/25/2015,f,85T,1F9,85T
0X3,8/20/2015,f,6D4,6I0,6D4
0X4,8/23/2015,f,8J0,5J7,8J0
0X5,8/26/2015,m,34Z,2D7,34Z
0X6,8/29/2015,m,7F0,94Z,7F0
0X7,8/2/2015,m,4J3,5G7,4J3
0X8,7/13/2015,f,9A4,4G6,9A4
0X9,10/8/2015,f,63V,12Z,63V
0Y0,7/12/2017,m,4I3,0G9,4I3
0Y1,6/28/2016,f,9M6,2J4,9M6
0Y2,9/10/2016,m,3H6,3I5,3H6
0Y3,7/28/2016,m,8M0,8H2,8M0
0Y4,7/15/2016,m,2E8,2I1,2E8
0Y5,6/30/2016,f,1K8,2K9,1K8
0Y6,7/18/2017,f,2E1,7H0,2E1
0Y7,7/7/2017,f,6C5,1J8,6C5
0Y8,7/7/2017,f,2E8,2I1,2E8
0Y9,8/7/2017,m,40L,1N3,40L
0Z0,8/13/2016,m,8J0,2I2,8J0
0Z1,8/7/2017,m,0R9,43P,0R9
0Z2,7/24/2016,f,5K9,5J1,5K9
0Z3,8/19/2017,m,5D9,43P,5D9
0Z4,8/24/2016,m,0C8,5I3,0C8
0Z5,6/17/2017,f,7M9,0C7,7M9
0Z6,7/20/2017,m,3J4,8K6,3J4
0Z7,9/7/2017,M,0I7,0G9,0I7
0Z8,7/5/2016,f,8M6,94O,8M6
0Z9,8/13/2017,m,38Z,0G9,38Z
100,1/1/1956,f,?,,
101,1/1/1956,m,?,,
102,1/1/1954,f,?,,
103,1/1/1952,m,?,,
104,1/1/1956,f,?,,
105,1/1/1956,f,?,,
106,1/1/1955,f,?,,
107,1/1/1955,m,?,,
108,1/1/1956,m,?,,
109,1/1/1953,f,?,,
10A,3/31/1992,m,J79,,J79
10B,3/14/1993,m,L81,,
10C,1/19/1994,f,C12,I37,C12
10D,1/9/1995,m,T86,L35,T86
10E,2/24/1995,m,O70,L22,O70
10F,1/28/1996,f,D69,R70,D69
10G,1/19/1997,f,X86,I47,X86
10H,1/2/1997,m,L19,I78,L19
10I,4/22/1998,f,R71,R70,R71
10J,5/22/1998,m,F74,S94,F74
10K,1/14/1999,m,00B,Z71,J01
10L,2/23/1999,f,J01,51A,00B
10N,11/17/1999,m,37D,Z01,37D
10O,1/14/2000,m,J41,X57,J41
10P,12/9/2000,m,N37,37C,N37
10R,12/24/2001,m,R75,Z88,R75
10S,11/26/2001,f,61A,65F,61A
10T,10/25/2002,f,19J,79F,19J
10V,2/22/2004,f,K04,96B,K04
10Z,12/7/2003,f,S54,37C,S54
110,1/1/1952,f,?,,
111,1/1/1956,f,?,,
112,1/1/1956,f,?,,
113,1/1/1956,m,?,,
114,1/1/1956,f,?,,
115,1/1/1956,f,?,,
116,1/1/1953,f,?,,
117,1/1/1952,f,?,,
118,1/1/1956,f,?,,
119,1/1/1952,f,?,,
11A,1/14/1992,m,L49,,
11B,12/22/1992,f,I11,,
11C,1/5/1994,f,L29,I13,L29
11D,3/1/1995,m,J85,,J85
11E,1/10/1995,m,F72,N07,F72
11F,3/18/1996,f,X46,O81,X46
11G,12/26/1996,m,C87,V83,C87
11H,1/7/1997,f,K80,O23,K80
11I,11/21/1997,f,X17,O23,X17
11J,1/29/1998,f,G80,85A,G80
11K,1/14/1999,m,R74,,R74
11L,11/9/1998,f,J99,X61,J99
11N,12/20/1999,f,V78,,V78
11O,1/19/2000,m,21C,Z06,21C
11P,12/7/2000,f,40A,90B,40A
11R,1/20/2002,f,95B,61B,95B
11S,12/19/2001,m,79C,V45,79C
11T,12/21/2002,f,X20,49A,X20
11V,11/10/2003,f,87K,86D,87K
11Z,11/12/2003,m,74H,Z71,74H
120,1/1/1955,f,?,,
121,1/1/1955,m,?,,
122,1/1/1955,f,?,,
123,1/1/1956,m,?,,
124,1/1/1955,m,?,,
125,1/1/1956,f,?,,
126,1/1/1955,m,?,,
127,1/1/1955,m,?,,
128,1/1/1952,f,?,,
129,1/1/1952,f,?,,
12A,1/18/1992,m,483,,
12B,2/8/1993,f,L49,,
12C,12/12/1993,m,T95,I37,T95
12D,2/15/1995,m,G11,L35,G11
12E,1/30/1995,m,J92,A98,J92
12F,2/24/1996,f,929,O81,929
12G,12/15/1996,f,B04,I20,B04
12H,1/20/1997,f,V44,V45,V44
12I,12/3/1997,m,R59,I85,R59
12J,12/11/1997,m,O38,C99,O38
12K,12/20/1998,f,V82,32B,V82
12L,1/1/1999,f,O69,Z01,O69
12N,12/11/1999,m,K04,658,K04
12O,11/11/1999,m,I56,85A,I56
12P,11/27/2000,m,46F,Z90,46F
12R,10/29/2001,m,13D,90B,13D
12S,11/26/2001,f,L19,S47,L19
12T,12/22/2002,f,S70,40C,S70
12V,2/23/2004,m,H74,X81,H74
12Z,12/3/2003,m,G43,40C,G43
130,1/1/1952,f,?,,
131,1/1/1953,f,?,,
132,1/1/1957,m,CD,,
13A,1/8/1992,f,D15,I20,
13B,1/11/1993,f,J41,I20,J41
13C,12/22/1993,f,O56,J26,O56
13D,1/4/1995,f,D97,I78,D97
13E,3/16/1995,m,678,,678
13F,1/1/1996,m,X17,N46,X17
13G,1/22/1997,f,05A,R70,05A
13H,1/17/1997,f,J41,S76,J41
13I,3/23/1998,m,V58,A98,V58
13J,12/4/1997,m,X29,O08,X29
13K,4/12/1999,m,61A,R70,61A
13L,2/22/1999,m,O75,R70,O75
13N,12/19/1999,m,03B,,03B
13O,12/17/1999,m,K00,Z06,K00
13P,12/26/2000,m,18A,V95,18A
13R,11/8/2001,f,36B,61D,36B
13S,12/1/2001,m,K00,O23,K00
13T,1/25/2003,f,Z14,65F,Z14
13V,1/19/2004,m,21C,60E,21C
13Z,1/14/2004,m,01B,07D,01B
14A,2/21/1992,m,J41,D91,J41
14B,12/21/1992,m,J69,D71,J69
14C,2/1/1994,f,R78,I86,R78
14D,12/9/1994,m,O27,S76,O27
14E,12/13/1994,f,L49,G20,L49
