animalid,dob,sex,behaviormom,sire,dam,iop_re_first,iop_le_first
4D3,9/25/2006,m,31G,51J,31G,20,21
4K7,10/31/2010,m,3E7,8B3,3E7,13,12
4M3,8/20/2011,m,4E0,84E,4E0,23,23
4S1,10/8/2013,f,20F,43P,20F,17,15
4S5,12/14/2013,m,7C4,61R,7C4,27,26
50I,12/11/1997,f,64A,S56,64A,16,18
51Z,11/1/2004,f,97J,61B,97J,11,11
52P,12/17/2000,f,61A,D78,61A,18,6
52Z,10/24/2004,f,78I,01K,78I,18,18
53E,2/12/1996,f,L80,S94,L80,14,14
55V,12/7/2003,f,J92,90B,J92,22,20
59A,11/29/1992,f,J97,658,,17,15
5B0,12/23/2005,m,81I,57D,81I,19,18
5B2,12/3/2005,m,07L,O15,07L,19,18
5C0,11/7/2005,f,43F,08N,43F,16,16
5D9,10/24/2006,f,X17,02F,X17,18,17
5E1,9/14/2007,m,90D,36S,90D,19,17
5E8,1/15/2008,f,78I,60L,78I,20,18
5G3,9/10/2008,m,34Z,93R,34Z,21,21
5G9,9/21/2008,f,99I,25R,99I,20,20
5I0,9/24/2009,m,6C5,46Z,6C5,27,27
5J7,11/4/2009,m,64D,31I,64D,16,16
5K3,9/10/2010,f,0A4,56K,0A4,19,20
5K5,10/10/2010,m,50I,25L,50I,23,22
5K8,10/25/2010,m,28G,02R,28G,24,25
5L4,12/9/2010,m,3D1,X80,3D1,21,22
5L7,9/26/2010,f,81E,60L,81E,17,20
5N5,9/15/2011,m,5E8,70C,5E8,20,21
5P4,11/26/2012,m,9C5,53N,9C5,20,21
5Q0,8/5/2013,m,4F8,8D8,4F8,21,18
5R6,7/21/2013,m,78T,6A9,78T,26,21
63V,11/1/2003,f,89C,60E,89C,18,16
64P,12/11/2000,f,39B,85B,39B,19,14
6B8,11/16/2005,m,96G,80B,96G,14,16
6C0,2/26/2006,f,82A,08N,82A,17,16
6F0,9/28/2007,m,74K,S81,74K,17,18
6I9,9/27/2009,m,43J,22R,43J,19,18
6K2,9/8/2010,m,34Z,91O,34Z,19,18
6N0,9/12/2011,m,7F9,3A6,7F9,19,17
6O1,9/21/2012,f,50S,49Z,50S,17,17
6P5,9/23/2012,m,35N,41N,35N,24,25
6P9,8/24/2012,m,6F2,2D7,6F2,17,17
6Q5,7/20/2013,m,29Z,8A7,29Z,25,24
77I,1/13/1998,m,S97,D52,S97,14,14
79Z,11/21/2004,f,64A,79H,64A,15,15
7B3,10/26/2005,m,81E,12E,81E,18,22
7D7,10/25/2006,m,78T,02F,78T,19,18
7G1,9/23/2008,m,39F,25I,39F,16,15
7J8,9/6/2009,f,0A9,25L,0A9,19,23
7M3,9/25/2011,m,7A9,10R,7A9,24,24
81O,11/13/2000,m,02A,L83,02A,15,15
82L,2/6/2000,f,27C,56C,,20,19
88T,12/4/2003,m,81E,84G,81E,19,17
8A7,11/8/2004,m,46K,31I,46K,7,6
8A9,10/6/2004,m,13A,96B,13A,18,17
8C0,10/12/2006,m,37D,94H,93O,17,19
8E8,10/29/2007,f,43I,25L,43I,16,19
8H0,10/13/2008,m,21C,43H,21C,25,28
8I0,10/8/2009,m,62H,36S,62H,21,19
8K1,10/2/2010,m,6C2,13I,6C2,21,19
8N3,10/24/2011,f,15E,12E,15E,19,19
8P8,9/24/2012,f,5C0,6A8,5C0,18,18
8Q4,8/31/2013,m,4A9,8C3,4A9,26,23
90P,11/12/2001,f,28G,Z19,28G,16,16
90T,11/15/2003,f,79I,72H,79I,13,13
93R,10/23/2001,m,Z82,17A,Z82,17,17
93Z,12/13/2004,f,03J,09K,03J,23,22
96Z,11/20/2004,m,50K,69I,50K,19,19
97V,11/18/2003,m,V44,69I,V44,20,19
98K,3/30/1999,m,74B,T53,74B,3,18
98T,1/12/2004,f,R65,30C,R65,14,14
9D1,10/15/2006,m,82L,08N,82L,27,27
9E3,11/27/2007,m,56E,30L,56E,20,20
9I6,11/7/2009,f,7B5,07T,7B5,17,18
9M4,9/24/2011,f,88I,25L,88I,21,21
9P3,10/12/2012,f,2G2,8D3,2G2,18,22
